연도,지자체,도시가스 사용량
2019,강원 강릉시,68472
2018,강원 강릉시,57953
2017,강원 강릉시,22055
2019,강원 동해시,11337
2018,강원 동해시,6829
2017,강원 동해시,1938
2019,강원 삼척시,38653
2018,강원 삼척시,33105
2017,강원 삼척시,343
2019,강원 속초시,34669
2018,강원 속초시,32148
2017,강원 속초시,23633
2019,강원 영월군,7843
2018,강원 영월군,4188
2017,강원 영월군,1289
2019,강원 원주시,467060
2018,강원 원주시,384218
2017,강원 원주시,288970
2019,강원 춘천시,1392238
2018,강원 춘천시,1428281
2017,강원 춘천시,1250638
2019,강원 홍천군,34800
2018,강원 홍천군,32228
2017,강원 홍천군,26394
2019,강원 횡성군,17475
2018,강원 횡성군,17784
2017,강원 횡성군,13444
2019,경기 가평군,64776
2018,경기 가평군,51350
2017,경기 가평군,21341
2019,경기 고양시,929506
2018,경기 고양시,942146
2017,경기 고양시,418835
2019,경기 과천시,437882
2018,경기 과천시,502686
2017,경기 과천시,540262
2019,경기 광명시,5649933
2018,경기 광명시,829662
2017,경기 광명시,12129204
2019,경기 광주시,749622
2018,경기 광주시,729407
2017,경기 광주시,954514
2019,경기 구리시,816954
2018,경기 구리시,838539
2017,경기 구리시,389407
2019,경기 군포시,175505
2018,경기 군포시,197091
2017,경기 군포시,167628
2019,경기 김포시,776885
2018,경기 김포시,893287
2017,경기 김포시,796071
2019,경기 남양주시,593424
2018,경기 남양주시,512774
2017,경기 남양주시,220299
2019,경기 동두천시,132325
2018,경기 동두천시,12230
2017,경기 동두천시,3475
2019,경기 부천시,2796870
2018,경기 부천시,2720176
2017,경기 부천시,2933630
2019,경기 성남시,1923231
2018,경기 성남시,2597868
2017,경기 성남시,2958780
2019,경기 수원시,5661159
2018,경기 수원시,5216843
2017,경기 수원시,6074388
2019,경기 시흥시,1651109
2018,경기 시흥시,1096777
2017,경기 시흥시,1261073
2019,경기 안산시,9964935
2018,경기 안산시,11076685
2017,경기 안산시,10690340
2019,경기 안성시,336103
2018,경기 안성시,352272
2017,경기 안성시,300980
2019,경기 안양시,1899848
2018,경기 안양시,2115542
2017,경기 안양시,2904818
2019,경기 양주시,1025323
2018,경기 양주시,384561
2017,경기 양주시,897041
2019,경기 양평군,30007
2018,경기 양평군,27456
2017,경기 양평군,7715
2019,경기 여주시,56688
2018,경기 여주시,51923
2017,경기 여주시,32526
2019,경기 연천군,17076
2018,경기 연천군,9644
2017,경기 연천군,2573
2019,경기 오산시,179554
2018,경기 오산시,125925
2017,경기 오산시,91601
2019,경기 용인시,621534
2018,경기 용인시,622668
2017,경기 용인시,405336
2019,경기 의왕시,239741
2018,경기 의왕시,243658
2017,경기 의왕시,163844
2019,경기 의정부시,1483775
2018,경기 의정부시,1134216
2017,경기 의정부시,1488554
2019,경기 이천시,1660853
2018,경기 이천시,422501
2017,경기 이천시,250674
2019,경기 파주시,3265128
2018,경기 파주시,3736916
2017,경기 파주시,3608916
2019,경기 평택시,265522
2018,경기 평택시,254483
2017,경기 평택시,181079
2019,경기 포천시,57978
2018,경기 포천시,21523
2017,경기 포천시,7815
2019,경기 하남시,181756
2018,경기 하남시,156816
2017,경기 하남시,97644
2019,경기 화성시,188234
2018,경기 화성시,187688
2017,경기 화성시,148090
2019,경남 거제시,119692
2018,경남 거제시,113973
2017,경남 거제시,13390.5467
2019,경남 거창군,17135
2018,경남 거창군,15673
2017,경남 거창군,9663
2019,경남 고성군,10275
2018,경남 고성군,10711
2017,경남 고성군,3024.7346
2019,경남 김해시,7546799
2018,경남 김해시,8525872
2017,경남 김해시,7826028.286
2019,경남 밀양시,44769
2018,경남 밀양시,44640
2017,경남 밀양시,6160.705
2019,경남 사천시,61361
2018,경남 사천시,60004
2017,경남 사천시,42982
2019,경남 양산시,784645
2018,경남 양산시,734774
2017,경남 양산시,794190.2262
2019,경남 진주시,1783463
2018,경남 진주시,1903225
2017,경남 진주시,1887901
2019,경남 창녕군,1853
2018,경남 창녕군,1255
2017,경남 창녕군,17.847
2019,경남 창원시 마산합포구,1585776
2018,경남 창원시 마산합포구,1701733
2017,경남 창원시 마산합포구,379238.2674
2019,경남 창원시 마산회원구,925977
2018,경남 창원시 마산회원구,943739
2017,경남 창원시 마산회원구,84471.6165
2019,경남 창원시 성산구,1425947
2018,경남 창원시 성산구,1467651
2017,경남 창원시 성산구,190313.6091
2019,경남 창원시 의창구,1207157
2018,경남 창원시 의창구,1239402
2017,경남 창원시 의창구,273754.955
2019,경남 창원시 진해구,1103081
2018,경남 창원시 진해구,1067630
2017,경남 창원시 진해구,146304.3585
2019,경남 통영시,42041
2018,경남 통영시,42733
2017,경남 통영시,14627.6821
2019,경남 하동군,7476
2018,경남 하동군,8820
2017,경남 하동군,4195
2019,경남 함안군,23505
2018,경남 함안군,25591
2017,경남 함안군,13840.0649
2019,경남 함양군,3073
2018,경남 함양군,1825
2017,경남 함양군,598
2019,경북 경산시,498980
2018,경북 경산시,587542
2017,경북 경산시,444015
2019,경북 경주시,102141
2018,경북 경주시,34119
2019,경북 고령군,8999
2018,경북 고령군,7799
2017,경북 고령군,3146
2019,경북 구미시,1015254
2018,경북 구미시,982090
2017,경북 구미시,569949
2019,경북 군위군,7285
2018,경북 군위군,5069
2017,경북 군위군,263
2019,경북 김천시,77067
2018,경북 김천시,80045
2017,경북 김천시,53173
2019,경북 문경시,91977
2018,경북 문경시,91255
2017,경북 문경시,51964
2019,경북 봉화군,3484
2018,경북 봉화군,2563
2019,경북 상주시,25247
2018,경북 상주시,27149
2017,경북 상주시,15870
2019,경북 성주군,84
2018,경북 성주군,27
2019,경북 안동시,44250
2018,경북 안동시,41886
2017,경북 안동시,25882
2019,경북 영덕군,5333
2018,경북 영덕군,3050
2017,경북 영덕군,799
2019,경북 영주시,89790
2018,경북 영주시,88740
2017,경북 영주시,70230
2019,경북 영천시,131354
2018,경북 영천시,96917
2019,경북 예천군,31395
2018,경북 예천군,26571
2017,경북 예천군,10363
2019,경북 울진군,12669
2018,경북 울진군,9373
2017,경북 울진군,1750
2019,경북 의성군,7350
2018,경북 의성군,2987
2017,경북 의성군,136
2019,경북 칠곡군,180036
2018,경북 칠곡군,196630
2017,경북 칠곡군,83176
2019,경북 포항시,13164822
2018,경북 포항시,14031840
2017,경북 포항시,14530761.24
2019,광주 광산구,23139870
2018,광주 광산구,24295919
2017,광주 광산구,25238607
2019,광주 남구,18845858
2018,광주 남구,21243900
2017,광주 남구,21165171
2019,광주 동구,6289471
2018,광주 동구,6719310
2017,광주 동구,6929808
2019,광주 북구,37331060
2018,광주 북구,41386598
2017,광주 북구,41106158
2019,광주 서구,28366999
2018,광주 서구,32596361
2017,광주 서구,35109960
2019,대구 남구,1519611
2018,대구 남구,1823949
2017,대구 남구,2544496
2019,대구 달서구,4420967
2018,대구 달서구,4814393
2017,대구 달서구,4869980
2019,대구 달성군,1874557
2018,대구 달성군,2162730
2017,대구 달성군,2079668
2019,대구 동구,4000587
2018,대구 동구,4719256
2017,대구 동구,5690515
2019,대구 북구,6418613
2018,대구 북구,7172003
2017,대구 북구,8202637
2019,대구 서구,1394079
2018,대구 서구,1689175
2017,대구 서구,1677098
2019,대구 수성구,8963942
2018,대구 수성구,10574520
2017,대구 수성구,12941160
2019,대구 중구,3699918
2018,대구 중구,4497987
2017,대구 중구,4293036
2019,대전 대덕구,190498
2018,대전 대덕구,168612
2017,대전 대덕구,80013
2019,대전 동구,403565
2018,대전 동구,345150
2017,대전 동구,250146
2019,대전 서구,380891
2018,대전 서구,317055
2017,대전 서구,156923
2019,대전 유성구,229522
2018,대전 유성구,198581
2017,대전 유성구,144590
2019,대전 중구,226569
2018,대전 중구,199074
2017,대전 중구,104156
2019,부산 강서구,739165
2018,부산 강서구,871030
2017,부산 강서구,1195889
2019,부산 금정구,1239193
2018,부산 금정구,1382876
2017,부산 금정구,1206704
2019,부산 기장군,236619
2018,부산 기장군,263749
2017,부산 기장군,224963
2019,부산 남구,1371904
2018,부산 남구,1578139
2017,부산 남구,1467828
2019,부산 동구,432239
2018,부산 동구,464224
2017,부산 동구,440340
2019,부산 동래구,1014193
2018,부산 동래구,1078251
2017,부산 동래구,936880
2019,부산 부산진구,2283062
2018,부산 부산진구,2482805
2017,부산 부산진구,3994991
2019,부산 북구,1790729
2018,부산 북구,1963189
2017,부산 북구,1767713
2019,부산 사상구,1814705
2018,부산 사상구,1992417
2017,부산 사상구,1801336
2019,부산 사하구,2599880
2018,부산 사하구,2880460
2017,부산 사하구,5176175
2019,부산 서구,437167
2018,부산 서구,485576
2017,부산 서구,441727
2019,부산 수영구,1230581
2018,부산 수영구,1318496
2017,부산 수영구,1212480
2019,부산 연제구,1588406
2018,부산 연제구,1762372
2017,부산 연제구,1488359
2019,부산 영도구,1128343
2018,부산 영도구,1299599
2017,부산 영도구,1485914
2019,부산 중구,432262
2018,부산 중구,467668
2017,부산 중구,411818
2019,부산 해운대구,2536457
2018,부산 해운대구,2773788
2017,부산 해운대구,2475195
2019,세종 세종시,119442
2018,세종 세종시,127560
2017,세종 세종시,117870
2019,울산 남구,3548078
2018,울산 남구,3806965
2017,울산 남구,3782930.804
2019,울산 동구,2748936
2018,울산 동구,2958243
2017,울산 동구,2880563.718
2019,울산 북구,2539575
2018,울산 북구,2576851
2017,울산 북구,2566167.973
2019,울산 울주군,2162469
2018,울산 울주군,2273330
2017,울산 울주군,2234039.738
2019,울산 중구,2281792
2018,울산 중구,2350333
2017,울산 중구,2433591.343
2019,인천 강화군,11298
2018,인천 강화군,11302
2017,인천 강화군,4762
2019,인천 계양구,4603533
2018,인천 계양구,4870851
2017,인천 계양구,2201237
2019,인천 남동구,4106625
2018,인천 남동구,4484332
2017,인천 남동구,1140350
2019,인천 동구,142211
2018,인천 동구,152882
2017,인천 동구,127241
2019,인천 미추홀구,3276076
2018,인천 미추홀구,3516224
2017,인천 미추홀구,2788486
2019,인천 부평구,435594
2018,인천 부평구,517332
2017,인천 부평구,323835
2019,인천 서구,1272511
2018,인천 서구,1332784
2017,인천 서구,1040976
2019,인천 연수구,684166
2018,인천 연수구,695836
2017,인천 연수구,1161199
2019,인천 중구,87594
2018,인천 중구,89672
2017,인천 중구,58287
2019,전남 고흥군,5458
2018,전남 고흥군,4512
2017,전남 고흥군,917
2019,전남 곡성군,702
2018,전남 곡성군,681
2017,전남 곡성군,152
2019,전남 광양시,3762680
2018,전남 광양시,4086435
2017,전남 광양시,3631003
2019,전남 구례군,3649
2018,전남 구례군,2970
2017,전남 구례군,1671
2019,전남 나주시,32453
2018,전남 나주시,30770
2017,전남 나주시,19659
2019,전남 담양군,3029
2018,전남 담양군,3241
2017,전남 담양군,2518
2019,전남 목포시,532653
2018,전남 목포시,442247
2017,전남 목포시,236817
2019,전남 무안군,163963
2018,전남 무안군,160928
2017,전남 무안군,138105
2019,전남 순천시,1199122
2018,전남 순천시,1178638
2017,전남 순천시,946473
2019,전남 여수시,379007
2018,전남 여수시,507319
2017,전남 여수시,520884
2019,전남 영광군,112415
2018,전남 영광군,98977
2017,전남 영광군,67129
2019,전남 영암군,7362
2018,전남 영암군,6164
2017,전남 영암군,3954
2019,전남 장성군,9582
2018,전남 장성군,7501
2017,전남 장성군,3623
2019,전남 장흥군,19801
2018,전남 장흥군,16182
2017,전남 장흥군,9102
2019,전남 함평군,767
2018,전남 함평군,889
2019,전남 해남군,37609
2018,전남 해남군,41720
2017,전남 해남군,37059
2019,전남 화순군,208847
2018,전남 화순군,121700
2017,전남 화순군,71024
2019,전북 고창군,7314
2018,전북 고창군,9400
2017,전북 고창군,6255
2019,전북 군산시,7330090
2018,전북 군산시,6386194
2017,전북 군산시,7893404
2019,전북 김제시,26902
2018,전북 김제시,68861
2017,전북 김제시,59332
2019,전북 남원시,23808
2018,전북 남원시,25786
2017,전북 남원시,10169
2019,전북 무주군,10724
2018,전북 무주군,55890
2017,전북 무주군,43062
2019,전북 부안군,7521
2018,전북 부안군,5929
2017,전북 부안군,5906
2019,전북 순창군,4063
2018,전북 순창군,4193
2017,전북 순창군,1614
2019,전북 완주군,24647
2018,전북 완주군,25100
2017,전북 완주군,14807
2019,전북 익산시,3561285
2018,전북 익산시,3884465
2017,전북 익산시,4100620
2019,전북 임실군,1154
2018,전북 임실군,850
2017,전북 임실군,729
2019,전북 전주시,4722182
2018,전북 전주시,9792802
2017,전북 전주시,17980128
2019,전북 정읍시,99337
2018,전북 정읍시,92930
2017,전북 정읍시,57866
2019,전북 진안군,613
2018,전북 진안군,190
2019,제주 서귀포시,5070
2018,제주 서귀포시,5948
2017,제주 서귀포시,5474
2019,제주 제주시,62174
2018,제주 제주시,67167
2017,제주 제주시,60027
2019,충남 계룡시,32512
2018,충남 계룡시,24772
2017,충남 계룡시,16142
2019,충남 공주시,123532
2018,충남 공주시,123834
2017,충남 공주시,98871
2019,충남 금산군,4358
2018,충남 금산군,3824
2017,충남 금산군,3313
2019,충남 논산시,23415
2018,충남 논산시,21979
2017,충남 논산시,19372
2019,충남 당진시,188658
2018,충남 당진시,130018
2017,충남 당진시,143217
2019,충남 보령시,66848
2018,충남 보령시,67215
2017,충남 보령시,391936
2019,충남 부여군,11065
2018,충남 부여군,8825
2017,충남 부여군,7863
2019,충남 서산시,56101
2018,충남 서산시,32443
2017,충남 서산시,34790
2019,충남 서천군,29362
2018,충남 서천군,31065
2017,충남 서천군,28662
2019,충남 아산시,495183
2018,충남 아산시,496945
2017,충남 아산시,436920
2019,충남 예산군,16319
2018,충남 예산군,11853
2017,충남 예산군,11567
2019,충남 천안시,884257
2018,충남 천안시,881039
2017,충남 천안시,790553
2019,충남 태안군,9236
2018,충남 태안군,4714
2017,충남 태안군,4423
2019,충남 홍성군,79972
2018,충남 홍성군,52420
2017,충남 홍성군,43791
2019,충북 괴산군,8653
2018,충북 괴산군,7621
2017,충북 괴산군,3388
2019,충북 단양군,4382
2018,충북 단양군,874
2017,충북 단양군,113
2019,충북 보은군,15746
2018,충북 보은군,15175
2017,충북 보은군,10897
2019,충북 영동군,16464
2018,충북 영동군,12544
2017,충북 영동군,7080
2019,충북 옥천군,9951
2018,충북 옥천군,7876
2017,충북 옥천군,4093
2019,충북 음성군,46741
2018,충북 음성군,40124
2017,충북 음성군,16348
2019,충북 제천시,167142
2018,충북 제천시,143708
2017,충북 제천시,77047
2019,충북 증평군,27999
2018,충북 증평군,26066
2017,충북 증평군,17847
2019,충북 진천군,68565
2018,충북 진천군,49744
2017,충북 진천군,18996
2019,충북 청주시,459328
2018,충북 청주시,362190
2017,충북 청주시,240245
2019,충북 충주시,193382
2018,충북 충주시,173593
2017,충북 충주시,129949
